cc_no,transaction_time,amount,items,location,merchant,notes,status,tags,transaction_id,user_id
1234123412341240,2017-09-06 16:31:46.959+0000,1458.74,,Tampa,PizzaHut,HouseHold,,"{'Home', 'HouseHold'}",31f4d4cc-8519-4982-be7b-b8aa06523ae3,banderson
1234123412341240,2017-09-06 14:54:43.125+0000,696.57,,Atlanta,Amazon,Shopping,SUCCESS,"{'Home', 'Shopping'}",7cd4369d-0d1a-4abd-99ca-7f8eb5b98543,banderson
1234123412341240,2017-09-06 04:45:51.837+0000,240.46,,West Palm Beach,Amazon,Shopping,,"{'Home', 'Shopping'}",ed79fa80-9e1c-472b-a2df-350a06a47cab,banderson
1234123412341240,2017-09-06 00:06:44.733+0000,528.49,,Dallas,Target,Shopping,CANCELLED,"{'Home', 'Shopping'}",13098812-88b8-48d3-aada-1cce6bd852c5,banderson
1234123412341240,2017-09-05 15:39:34.835+0000,1167.72,,Tampa,Macys,Shopping,,"{'Home', 'Shopping'}",dd6df464-83f6-42c9-ac81-7e2020814f11,banderson
1234123412341240,2017-09-05 09:06:59.539+0000,2064.26,,Atlanta,Kroger,Shopping,,"{'Home', 'Shopping'}",becea5cb-6c4a-4cfc-9b2a-93a2100ae501,banderson
1234123412341240,2017-09-04 23:38:26.888+0000,2551.34,,Tampa,Macys,Shopping,,"{'Home', 'Shopping'}",3ad1d732-5299-4d36-9cbe-d1b7ab86b1fc,banderson
1234123412341240,2017-09-04 08:01:47.351+0000,2679.18,,Orlando,BestBuy,Pharmacy,,"{'Home', 'Pharmacy'}",6bbcee60-72c9-41ee-9632-97c10a672810,banderson
1234123412341240,2017-09-03 08:18:15.690+0000,862.63,,West Palm Beach,Macys,Shopping,,"{'Home', 'Shopping'}",6e8c563c-01fa-416e-a3a8-27aa75cfab51,banderson
1234123412341240,2017-09-03 05:21:33.213+0000,2108.43,,Atlanta,Target,Shopping,,"{'Home', 'Shopping'}",eb0d0bc4-04b6-4748-9aef-87c83c8e0ab6,banderson
1234123412341240,2017-09-02 22:01:26.272+0000,122.36,,Birmingham,BestBuy,Pharmacy,,"{'Home', 'Pharmacy'}",031daba5-af3c-489f-a195-76f0413c24bf,banderson
1234123412341240,2017-09-02 16:51:32.813+0000,934.83,,Orlando,Target,Shopping,,"{'Home', 'Shopping'}",3abe5356-521f-445f-b858-42f77d3366a4,banderson
1234123412341240,2017-09-02 03:24:38.717+0000,2059.78,,West Palm Beach,Kroger,Shopping,,"{'Home', 'Shopping'}",7754c5cd-f909-4da5-b8d3-1934eba6169b,banderson
1234123412341240,2017-09-01 12:37:36.612+0000,1650.79,,Birmingham,PizzaHut,HouseHold,,"{'Home', 'HouseHold'}",06256ed3-4d29-428e-878a-01d7890723df,banderson
1234123412341240,2017-08-31 23:51:49.599+0000,2068.61,,West Palm Beach,Wal-Mart,Shopping,,"{'Home', 'Shopping'}",6de8c1fd-dcd4-4f1d-ba85-a483f7c6f4e3,banderson
1234123412341240,2017-08-31 09:27:57.209+0000,112.12,,Atlanta,Amazon,Shopping,,"{'Home', 'Shopping'}",934f8127-19f3-458b-b878-b7e81358cdf0,banderson
1234123412341240,2017-08-30 22:42:54.729+0000,2001.32,,Birmingham,Wal-Mart,Shopping,,"{'Home', 'Shopping'}",cf093234-ac92-417b-aa71-4a6a731dbd3b,banderson
1234123412341240,2017-08-30 20:42:55.075+0000,2281.39,,Tampa,Macys,Shopping,,"{'Home', 'Shopping'}",27809b06-de25-49d3-97b4-fc9c7bc8959c,banderson
1234123412341240,2017-08-30 17:08:39.437+0000,1873.87,,Tampa,PizzaHut,HouseHold,,"{'Home', 'HouseHold'}",17640692-95a5-40a9-a215-43ba8a96f455,banderson
1234123412341240,2017-08-30 06:34:34.278+0000,289.95,,Dallas,Amazon,Shopping,,"{'Home', 'Shopping'}",e9fb9aee-36b3-4e06-ade9-49638dfb1c27,banderson
